nama,fasilitas,harga
Kost Eyank 2 Tipe A Sukasari Bandung X8C4S1Z3,3 x 4 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Bantal+Dapur Pribadi+Guling+Jendela+K. Mandi Dalam+Ember mandi+Penjaga Kos+R. Jemur+Dapur+Balcon+Jemuran+Jual Makanan+Pengurus Kos,900000
Kost Eyank 1 Sukasari Bandung R32KR2K8,3 x 4 meter+Termasuk listrik+Kasur+Lemari Baju+Bantal+Guling+Jendela+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+R. Cuci+Mesin Cuci+R. Jemur+Balcon+Gazebo+K. Mandi Luar+Parkir Motor,900000
Kost Ibu Henny Sukasari Bandung T276NK5P,3 x 5 meter+Tidak termasuk listrik+Kasur+Meja+Meja Rias+Lemari Baju+Kulkas+Kursi+Wastafel+Cleaning service+TV Kabel+Bantal+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+Penjaga Kos+R. Tamu+R. Makan+Dapur+Dispenser+CCTV+Parkir Mobil+Parkir Motor,1500000
Kost 44 Sukasari Bandung 5WX060XZ,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Jendela+K. Mandi Dalam+Kloset Duduk+Shower+Air panas+WiFi+Penjaga Kos+Jemuran+Jual Makanan+Parkir Motor,900000
Kost Karizma Guesthouse Sukasari Bandung 5QR31N1K,3 x 4 meter+Tidak termasuk listrik+AC+Kasur+Meja Rias+TV+Ventilasi+Bantal+Cermin+Jendela+K. Mandi Dalam+Kloset Duduk+Shower+Air panas+WiFi+Penjaga Kos+R. Tamu+R. Makan+R. Santai+Dapur+Dispenser+Balcon+CCTV+Pengurus Kos+Parkir Motor,1800000
Kost Aa Tipe Standart Cidadap Bandung 69DQP01Z,3 x 3 meter+Tidak termasuk listrik+Kasur+Bantal+Guling+Jendela+Shower+Jemuran+Parkir Motor,570000
Kost D Hook Tipe A Sukasari Bandung 38FE51RW,3 x 3 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Bantal+Guling+Jendela+Kursi+Kloset Duduk+K. Mandi Luar+Ember mandi+Wastafel+Shower,1100000
Kost Pondok Tipe A Coblong Bandung 691452PL,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Kulkas+Kursi+Kloset Duduk+K. Mandi Luar+Shower+Bak mandi+WiFi+R. Cuci+Kulkas+R. Jemur+Dapur+Balcon+K. Mandi Luar+CCTV+Pengurus Kos+Parkir Motor+Parkir Sepeda,950000
Kost Pondok Dago Coblong Bandung H8QCN838,3 x 4 meter+Tidak termasuk listrik+Kasur+Dispenser+Lemari Baju+Bantal+K. Mandi Dalam+Kloset Duduk+K. Mandi Luar+Ember mandi+Shower+Dapur+Dispenser+CCTV+Jemuran+Parkir Mobil+Parkir Motor+Parkir Sepeda+Parkir Motor & Sepeda,1000000
Kost Green Home Sari Asih Sukasari Bandung 75ARJV97,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Kursi+K. Mandi Dalam+Kloset Duduk+K. Mandi Luar+Ember mandi+WiFi+Kulkas+R. Santai+Dapur+Balcon+Jemuran+Pengurus Kos+Parkir Motor,750000
Kost Hilman Sukasari Bandung 841792HS,3 x 3 meter+Termasuk listrik+Kasur+Meja+Meja Rias+Lemari Baju+Kloset Jongkok+K. Mandi Luar+Ember mandi+Shower+WiFi+R. Cuci+R. Jemur+R. Santai+TV+R. Keluarga+K. Mandi Luar+Parkir Motor+Parkir Sepeda,650000
Kost RC 166 Cidadap Bandung 214RC,2 x 3 meter+Termasuk listrik+Kasur+Meja+Dispenser+Lemari Baju+Ventilasi+Kursi+Bantal+Jendela+K. Mandi Dalam+Kloset Duduk+Shower+Air panas,1200000
Kost Gerlong 20B Standart Sukasari Bandung 673982GB,3 x 3 meter+Tidak termasuk listrik+Jendela+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+R. Cuci+Penjaga Kos+R. Jemur+R. Makan+R. Santai+Dapur+Dispenser+Balcon+CCTV,500000
Kost Rusyana Tipe A Coblong Bandung,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Kursi+Kloset Jongkok+K. Mandi Luar,900000
Kost Pink Tipe A Sukasari Bandung 5MJB681F,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Bantal+Jendela+Kloset Duduk+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+R. Jemur+Dapur+Balcon+Jemuran+K. Mandi Luar+Jual Makanan+Parkir Mobil+Parkir Motor,800000
Kost Graha Setiabudi Tipe AC View Cidadap Bandung 675139GS,3 x 4.5 meter+Tidak termasuk listrik+AC+Kasur+Meja+Lemari Baju+Ventilasi+Bantal+Cermin+Jendela+Kursi+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+Laundry+Penjaga Kos+R. Tamu+R. Makan+R. Santai+Dapur+Dispenser+CCTV,2750000
Kost Bumi Katineung Tipe Vvip Coblong Bandung 613745BK,3 x 3 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Bantal+Cermin+Jendela+Kursi+Kloset Duduk+Shower+WiFi+Kulkas+R. Cuci+R. Jemur+R. Santai+Dapur+Dispenser+Balcon+CCTV+Jemuran+Parkir Motor+Parkir Sepeda,950000
Kost Ku Tipe A Coblong Bandung 785146KA,3 x 3 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Bantal+Cermin+Kursi+Kloset Duduk+Kloset Jongkok+K. Mandi Luar+Ember mandi+Shower+Air panas+WiFi+Kulkas+R. Cuci+Mesin Cuci+R. Tamu+R. Jemur+R. Santai+Dapur+Dispenser+Balcon+Parkir Motor+Parkir Sepeda+Parkir Motor & Sepeda,1100000
Kost The Sultan Tipe Standart Cidadap Bandung  ZE7G6C34,3.8 x 2.7 meter+Tidak termasuk listrik+AC+Kasur+Meja+Meja Rias+Lemari Baju+Ventilasi+Bantal+Cermin+Cleaning service+Guling+K. Mandi Dalam+Kloset Duduk+Shower+Air panas,2000000
Kost The Sultan Tipe Kamar Mezzanine Cidadap Bandung EC6142BS,4.6 x 2.9 meter+Tidak termasuk listrik+AC+Kasur+Meja+Meja Rias+Lemari Baju+Bantal+Cermin+Cleaning service+Jendela+Kursi+K. Mandi Dalam+Kloset Duduk+Shower+Air panas+WiFi+Kulkas+Laundry+Penjaga Kos+R. Tamu+R. Santai+Dapur+Dispenser+Balcon+CCTV,2700000
Kost Unpar Sukses Cidadap Bandung 335NZ3ZJ,3 x 4 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Kursi+Kloset Jongkok+K. Mandi Luar+Shower+Bak mandi+WiFi+Kulkas+Mesin Cuci+R. Jemur+R. Santai+Dapur+Balcon+Jemuran+K. Mandi Luar+Parkir Motor+Parkir Sepeda,900000
Kost Alis Ciumbuleuit Cidadap Bandung 739618AC,3 x 4 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Kursi+Bantal+Cermin+Guling+Jendela+K. Mandi Dalam+Kloset Duduk+K. Mandi Luar+Wastafel+Shower+Air panas,1800000
Kost Ibu Dodo Cidadap Bandung A26U5R5L,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Bantal+Cermin+Guling+Jendela+Kloset Duduk+K. Mandi Luar+Ember mandi+Shower+Kulkas+R. Cuci+R. Tamu+R. Jemur+R. Santai+Dapur+Balcon+Jemuran+Jual Makanan+K. Mandi Luar+Parkir Motor+Parkir Sepeda,650000
Kost Panumbang Jaya Cidadap Bandung 327465PJ,2.5 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Kursi+TV Kabel+K. Mandi Dalam+Kloset Duduk+Ember mandi+Shower+Air panas+WiFi+R. Cuci+Laundry+R. Jemur+R. Santai+Dapur+Parkir Motor+Parkir Sepeda,1100000
Kost Sangkuriang S9 Coblong Bandung 0A151LQS,3.2 x 2.2 meter+Termasuk listrik+Kasur+Meja Rias+Ventilasi+Cermin+Jendela+Kursi+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+Penjaga Kos+R. Jemur+R. Makan+R. Santai+Dapur+Dispenser+Jemuran+Pengurus Kos+Parkir Mobil+Parkir Motor,1700000
Kost Graha Setiabudi Tipe AC Non View Cidadap Bandung 16T27BBZ,3 x 3 meter+Tidak termasuk listrik+AC+Kasur+Meja+Lemari Baju+Ventilasi+Bantal+Cermin+Cleaning service+Jendela+Kursi+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+Laundry+Penjaga Kos+R. Tamu+R. Makan+R. Santai+Dapur+Dispenser+CCTV+Parkir Mobil+Parkir Motor+Parkir Sepeda,2500000
Kost Graha Setiabudi Tipe Suite Cidadap Bandung 536428GS,3 x 5 meter+Tidak termasuk listrik+AC+Kasur+Meja+Lemari Baju+Bantal+Cermin+Jendela+Kursi+Wastafel+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+Laundry+Penjaga Kos+R. Tamu+R. Makan+R. Santai+Dapur+CCTV+Pengurus Kos+Parkir Mobil+Parkir Motor+Parkir Sepeda,3500000
Kost Picung Nyaman Sukasari Bandung A19U2E2N,3 x 3 meter+Tidak termasuk listrik+Kasur+Lemari Baju+Bantal+Guling+Jendela+Kloset Jongkok+K. Mandi Luar+Ember mandi+Wastafel+Penjaga Kos+Balcon+K. Mandi Luar+Pengurus Kos+Jemuran+Jual Makanan+Parkir Motor+Parkir Sepeda+Parkir Motor & Sepeda,600000
Kost Nyonya Residence Tipe Premium Sukasari Bandung 5VZ9E3S2,3 x 4 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Bantal+Jendela+Kursi+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+R. Cuci+R. Jemur+R. Santai+Dispenser+Dapur+CCTV+Rice Cooker+Parkir Mobil+Parkir Motor+Parkir Sepeda+Parkir Motor & Sepeda,1580000
Kost Nyonya Residence Tipe A1 Sukasari Bandung 34R7P7AY,3 x 4.2 meter+Tidak termasuk listrik+Kasur+Dispenser+Meja+Lemari Baju+Ventilasi+Bantal+Cermin+Jendela+Kursi+Cleaning service+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+R. Cuci+R. Jemur+R. Santai+Dispenser+Dapur+CCTV+Rice Cooker+Parkir Mobil+Parkir Motor+Parkir Sepeda+Parkir Motor & Sepeda,1580000
Kost Hendri Tipe B Cidadap Bandung 63R9DX1H,3 x 3 meter+Termasuk listrik+Kasur+Meja+TV+Lemari Baju+Kursi+TV Kabel+Bantal+Cermin+Jendela+K. Mandi Dalam+Kloset Duduk+Ember mandi+Shower+Air panas+WiFi+R. Cuci+Kulkas+R. Tamu+Penjaga Kos+Laundry+R. Makan+R. Jemur+R. Santai+Dapur+Parkir Mobil+Parkir Motor+Parkir Sepeda,1650000
Kost Pondok Gerlong Sukasari Bandung 195HE,3 x 4 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Kursi+K. Mandi Dalam+Kloset Duduk+Shower+Air panas+WiFi+R. Cuci+Kulkas+R. Tamu+Mesin Cuci+R. Makan+R. Jemur+Dapur+Dispenser+TV,1500000
